geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
cy00	740.0 	722.8 	710.3 	701.5 	694.0 	686.7 	679.0 	670.8 	661.3 	650.9 
lv	2312.8 	2325.3 	2338.6 	2355.0 	2373.0 	2390.5 	2410.0 	2432.9 	2457.2 	2485.1 
lv00	2312.8 	2325.3 	2338.6 	2355.0 	2373.0 	2390.5 	2410.0 	2432.9 	2457.2 	2485.1 
lt	3435.6 	3454.2 	3469.1 	3481.3 	3499.5 	3524.2 	3549.3 	3575.1 	3601.6 	3629.1 
lt00	3435.6 	3454.2 	3469.1 	3481.3 	3499.5 	3524.2 	3549.3 	3575.1 	3601.6 	3629.1 
lu	453.0 	450.0 	446.2 	441.5 	436.3 	430.5 	424.7 	419.5 	414.2 	408.6 
lu00	453.0 	450.0 	446.2 	441.5 	436.3 	430.5 	424.7 	419.5 	414.2 	408.6 
hu	10107.1 	10129.6 	10158.6 	10187.6 	10210.9 	10067.5 	10113.6 	10154.9 	10193.4 	10229.0 
hu10	2835.3 	2827.2 	2826.9 	2830.1 	2838.5 	2850.6 	2862.3 	2874.1 	2886.3 	2897.6 
hu21	1111.9 	1113.3 	1119.1 	1120.7 	1119.9 	1109.6 	1112.3 	1113.6 	1115.1 	1116.8 
hu22	1001.8 	1003.8 	1001.7 	1003.4 	1004.2 	985.5 	989.7 	993.4 	996.8 	999.5 
hu23	980.5 	986.5 	991.4 	995.6 	998.7 	977.5 	982.9 	988.0 	993.0 	998.7 
hu31	1275.6 	1284.5 	1292.7 	1299.7 	1303.7 	1272.7 	1280.2 	1287.4 	1293.7 	1300.1 
hu32	1544.4 	1550.6 	1556.6 	1561.4 	1563.9 	1526.4 	1532.5 	1537.1 	1541.0 	1544.1 
hu33	1357.6 	1363.6 	1370.1 	1376.8 	1381.9 	1345.3 	1353.8 	1361.2 	1367.4 	1372.2 
mt	401.3 	398.6 	396.0 	393.0 	389.9 	383.7 	377.5 	375.2 	372.6 	370.3 
